Recency,Frequency,Monetary
96,5,2540.29
221,1,367.0
312,1,334.4
275,3,1296.38
97,1,459.4
129,1,481.46000000000004
183,1,6207.67
4,2,1168.06
10,3,3495.73
31,5,2135.79
37,1,299.1
302,1,310.32
213,1,168.9
69,1,938.39
31,1,1527.96
36,1,515.7
343,1,364.6
305,1,230.3
306,1,4008.62
158,1,607.5500000000001
1,5,1845.31
10,2,750.61
30,2,585.27
193,2,401.9
99,2,334.95000000000005
40,2,884.1
154,2,1272.48
6,7,1762.63
244,1,1195.09
3,3,820.6
100,1,84.3
96,1,1621.25
187,1,719.06
153,2,1396.78
66,1,6207.08
253,2,693.3299999999999
193,2,673.45
189,2,319.61
71,10,44582.79
182,4,1572.48
154,1,600.39
216,1,147.7
90,3,548.92
62,2,586.08
33,6,6580.52
455,1,1281.5
3,7,3055.05
90,5,9033.92
336,1,509.01
10,7,2040.81
486,1,173.55
182,1,172.06
1,2,1636.08
68,1,476.49
93,3,2724.58
187,1,96.0
215,2,4927.87
187,3,477.46000000000004
245,1,196.35
126,2,826.88
100,1,762.11
7,1,350.57
284,1,213.89999999999998
219,1,508.95000000000005
152,12,10309.97
153,2,1899.38
61,3,1726.51
4,3,1179.64
220,1,311.2
39,2,3415.19
182,1,680.99
30,2,1952.93
163,3,2070.23
36,4,1185.46
153,3,2017.24
163,1,334.93
97,4,2463.06
334,1,460.40000000000003
154,1,136.82
338,2,210.82
71,3,745.03
163,1,2169.39
189,4,3021.07
91,1,449.4
157,1,46.75
61,1,275.19
245,2,138.03
5,1,583.2
30,4,2085.64
1,3,1207.16
154,1,340.84
38,1,987.42
10,3,398.7
71,4,2962.6
90,2,797.38
130,2,552.64
31,3,1244.68
91,1,349.83000000000004
337,1,1089.18
93,2,716.35
31,1,4279.71
61,1,363.95
71,1,1715.85
40,8,5047.38
61,2,757.44
275,1,372.7
252,1,159.4
334,1,120.0
1,4,1356.57
34,1,312.9
40,3,8183.46
302,1,269.96
312,1,75.60000000000001
243,1,697.7
70,1,238.85
217,2,1304.3700000000001
127,6,4643.61
1,18,2534.95
64,1,248.35
333,1,487.68
131,4,1076.6299999999999
244,2,461.91
160,1,415.7
1,9,5093.2699999999995
158,4,835.94
302,1,144.0
30,1,515.1800000000001
6,2,9864.26
67,2,437.6
220,2,321.8
64,3,850.83
37,1,269.95
96,1,912.66
30,4,1200.32
34,4,636.3
30,3,884.02
40,3,325.46
1,1,153.12
62,1,1579.51
188,1,512.8
217,1,946.75
161,1,315.6
152,2,1079.8
216,1,457.7
61,1,355.53
183,2,871.84
6,5,3424.84
130,1,305.1
6,1,967.2
184,2,2440.39
184,3,2441.14
183,3,786.46
1,2,434.43
32,2,1689.18
93,4,3630.15
183,1,671.69
40,5,3094.14
306,1,477.91
183,2,893.9200000000001
213,1,615.28
32,7,2260.07
126,1,318.05
36,1,375.0
182,1,314.44
101,1,114.0
10,1,919.98
303,1,171.23000000000002
61,1,91.68
90,5,1618.21
1,4,2294.8
1,1,620.13
4,2,1607.73
61,2,1273.54
243,1,389.62
93,2,993.8000000000001
125,3,800.15
219,2,2073.52
1,2,906.38
32,2,361.83
34,7,5368.29
3,16,7288.08
6,10,4300.7
67,3,916.26
30,3,2019.54
639,1,89.14
247,1,511.03
1,2,479.5
6,2,454.01
95,1,439.5
245,2,248.2
30,1,223.68
128,4,4939.99
37,1,337.08
244,3,1120.85
129,2,2319.67
61,4,792.87
1,6,4051.34
246,2,430.06
10,8,2680.03
90,1,848.55
182,1,375.59000000000003
34,2,1030.98
215,2,644.95
4,13,3029.32
95,4,2026.6299999999999
4,1,302.92
182,3,376.69
40,2,363.14
639,1,427.8
30,3,1363.9
216,4,1903.54
40,1,252.54
36,3,2705.2
193,1,319.77
40,1,234.0
666,1,155.35
335,1,975.54
154,1,427.6
221,3,8209.58
152,5,2226.18
5,106,14154.13
67,4,3518.29
278,1,275.88
100,4,12940.51
161,2,61.62
252,2,3811.95
5,6,3439.82
130,1,1570.19
99,1,444.8
302,1,1436.93
578,1,320.08
101,3,2554.2000000000003
31,1,892.47
280,2,634.25
96,2,255.93
221,5,2298.15
154,1,277.48
213,1,252.25
152,2,622.84
425,1,311.95
93,1,186.56
215,1,91.85
698,1,192.60000000000002
101,2,545.48
305,1,317.0
455,1,254.03
188,1,427.58
127,3,483.65000000000003
216,1,253.55
283,1,166.04
182,1,210.35000000000002
97,1,92.72
246,1,229.5
31,1,397.12
61,3,577.1
153,2,212.4
152,5,907.51
163,1,207.25
93,3,2258.56
153,2,383.03
311,1,312.38
31,3,2161.73
183,2,683.13
96,5,2203.66
66,2,1296.7
5,13,2167.8
253,1,310.73
67,5,1282.36
61,2,325.96000000000004
122,1,346.39
246,1,135.18
7,1,420.46999999999997
667,1,38.1
30,3,870.96
70,1,801.6
125,1,981.38
342,1,559.12
97,2,1124.54
10,4,1176.3400000000001
455,1,378.53000000000003
311,1,374.0
364,1,293.76000000000005
156,4,376.56
93,1,140.5
99,1,298.0
183,1,471.84000000000003
32,1,291.63
2,1,309.05
125,3,1175.22
250,2,1378.4
97,1,81.36
158,2,289.0
91,1,188.14
39,1,128.8
36,6,1621.92
7,2,1286.6200000000001
152,2,804.24
39,4,1401.49
667,1,199.65
278,1,594.0
3,3,676.82
36,20,7377.78
338,1,405.38
184,1,176.97
2,2,508.23
213,1,325.74
7,2,980.26
343,1,117.85
33,5,35265.76
342,1,110.75
151,2,343.78
38,4,6397.92
455,1,258.75
244,1,317.56
66,4,950.12
31,2,660.6700000000001
91,5,3025.07
152,2,1531.4
221,2,467.48
243,1,297.73
121,5,2505.06
192,1,108.07
188,2,1000.2
302,1,95.85000000000001
333,2,630.45
32,1,771.91
639,1,1368.4
302,2,428.44
10,35,3877.92
6,1,738.6
187,1,39.239999999999995
10,5,4082.94
61,1,185.04
37,1,390.54
30,2,1239.38
2,7,2961.31
122,3,409.5
33,1,197.1
33,2,621.82
2,1,307.92
129,1,320.28000000000003
425,1,201.75
127,5,3717.6800000000003
34,2,89.05000000000001
71,7,2364.39
160,1,321.65
666,1,50.550000000000004
67,2,330.12
36,10,4000.44
153,4,1434.08
129,3,979.37
125,1,425.25
302,1,204.0
91,8,2116.4
128,3,952.83
184,2,689.9
99,5,975.36
157,2,1536.0
91,1,474.29999999999995
547,1,427.74
578,1,165.86
250,1,326.9
96,1,196.66
183,2,676.99
38,1,516.42
336,1,305.28000000000003
91,1,431.59
122,7,1697.41
184,1,502.90000000000003
64,5,1911.92
36,1,348.15000000000003
67,1,344.86
1,2,137.70000000000002
251,1,183.4
339,1,346.98
2,2,639.03
698,1,205.86
153,1,151.81
3,14,2825.74
306,1,919.61
120,2,465.55
1,10,4629.86
93,2,65.7
61,6,17893.61
217,3,1747.54
213,1,111.36
218,1,137.98000000000002
7,37,27867.5
122,6,4099.54
30,1,345.82
6,2,151.0
99,4,3470.34
39,8,1134.24
94,3,1944.28
34,17,19025.14
335,1,207.35999999999999
40,13,3843.97
182,1,339.48
71,1,566.84
667,1,350.06
31,2,786.54
122,3,781.88
6,11,4756.24
1,2,1779.6200000000001
64,5,664.71
185,1,18.72
32,2,2610.01
69,5,1126.69
185,1,64.0
219,1,324.9
38,2,109.8
96,1,360.04
36,1,574.46
30,4,2019.3
667,1,193.23
128,3,1887.38
486,1,159.51
97,1,360.18
40,1,110.95
93,3,499.72
91,2,356.40000000000003
61,5,1698.09
243,1,486.22
183,2,468.96
7,1,300.12
3,3,944.65
333,1,282.56
94,3,1139.86
342,1,417.2
276,2,416.76
275,1,346.53000000000003
154,2,712.88
213,2,353.65
578,1,1415.97
184,1,282.45
97,3,1465.06
101,4,1799.42
34,5,845.53
155,2,1301.94
192,1,236.02
216,1,447.62
92,1,117.88
33,3,1824.44
122,13,2863.76
217,1,319.32
33,2,309.86
4,1,197.52000000000004
1,4,692.14
91,4,2330.79
155,1,353.48
215,1,775.94
92,2,291.47
96,2,548.6
94,2,137.02
247,1,62.63999999999999
158,2,643.09
34,2,2155.95
62,3,3428.0
38,1,108.21000000000001
60,7,1567.12
5,3,473.83
163,1,304.24
36,1,1031.07
246,2,334.11
67,2,104.0
124,1,121.74000000000001
156,2,465.68
124,2,419.57000000000005
187,2,1030.4
698,1,225.7
92,1,292.32
92,1,557.62
6,13,2727.1
2,4,1802.3
61,5,1601.99
10,11,2592.29
7,3,843.88
2,8,2941.9900000000002
486,1,590.0
303,1,217.38
32,2,276.56
154,2,590.9300000000001
94,2,422.85
281,1,344.70000000000005
31,2,93.66
338,1,796.83
157,1,361.11
334,1,329.37
251,2,873.74
276,2,1638.8999999999999
121,1,360.0
248,2,306.99
156,1,63.75
38,6,1086.21
33,1,15.0
2,3,1007.09
29,1,314.38
4,2,598.57
128,3,934.04
121,2,276.32
303,1,1514.17
245,1,959.7
120,3,640.76
61,15,6712.74
67,2,508.61
153,3,530.25
32,5,4649.83
158,4,2084.42
122,2,789.0
124,2,805.11
162,2,2731.84
