CustomerID,InvoiceDate,Recency,Frequency,Monetary,KMeans_Cluster,Hier_Cluster,DBSCAN_Cluster,Customer_Quality
12347,2011-09-06 13:01:00,96,5,2540.29,0,2,0,High-Value
12348,2011-05-04 10:47:00,221,1,367.0,1,2,1,Medium-Value
12350,2011-02-02 16:01:00,312,1,334.4,1,2,1,Medium-Value
12352,2011-03-11 14:37:00,275,3,1296.38,1,2,0,ueHigh-Val
12355,2011-09-05 13:49:00,97,1,459.4,1,2,1,Medium-Value
12356,2011-08-04 12:33:00,129,1,481.46000000000004,1,2,1,Medium-Value
12357,2011-06-11 16:07:00,183,1,6207.67,1,2,1,Medium-Value
12358,2011-12-07 10:04:00,4,2,1168.06,0,2,2,Low-Value
12359,2011-12-01 12:43:00,10,3,3495.73,0,2,3,Potential
12362,2011-11-10 14:33:00,31,5,2135.79,0,2,0,High-Value
12363,2011-11-04 13:29:00,37,1,299.1,1,2,1,Medium-Value
12364,2011-02-12 10:22:00,302,1,310.32,1,2,1,Medium-Value
12367,2011-05-12 16:48:00,213,1,168.9,1,2,1,Medium-Value
12370,2011-10-03 12:48:00,69,1,938.39,1,2,1,Medium-Value
12371,2011-11-10 10:43:00,31,1,1527.96,1,2,1,Medium-Value
12372,2011-11-05 10:43:00,36,1,515.7,1,2,1,Medium-Value
12373,2011-01-02 13:10:00,343,1,364.6,1,2,1,Medium-Value
12375,2011-02-09 14:23:00,305,1,230.3,1,2,1,Medium-Value
12378,2011-02-08 10:34:00,306,1,4008.62,1,2,1,Medium-Value
12380,2011-07-06 09:49:00,158,1,607.5500000000001,1,2,1,Medium-Value
12381,2011-12-10 11:30:00,1,5,1845.31,0,2,3,Potential
12383,2011-12-01 14:10:00,10,2,750.61,0,2,2,Low-Value
12384,2011-11-11 08:39:00,30,2,585.27,1,2,4,Churn Risk
12386,2011-06-01 12:37:00,193,2,401.9,1,2,4,Churn Risk
12388,2011-09-03 15:47:00,99,2,334.95000000000005,1,2,4,Churn Risk
12393,2011-11-01 09:47:00,40,2,884.1,0,2,4,Churn Risk
12394,2011-07-10 08:08:00,154,2,1272.48,1,2,4,Churn Risk
12395,2011-12-05 10:15:00,6,7,1762.63,0,0,3,Potential
12397,2011-04-11 09:52:00,244,1,1195.09,1,2,1,Medium-Value
12399,2011-12-08 13:15:00,3,3,820.6,0,2,3,Potential
12401,2011-09-02 13:50:00,100,1,84.3,1,2,1,Medium-Value
12406,2011-09-06 10:23:00,96,1,1621.25,1,2,1,Medium-Value
12407,2011-06-07 09:49:00,187,1,719.06,1,2,1,Medium-Value
12408,2011-07-11 12:27:00,153,2,1396.78,1,2,4,Churn Risk
12409,2011-10-06 12:19:00,66,1,6207.08,0,2,-1,Noise/Outlier
12410,2011-04-02 10:39:00,253,2,693.3299999999999,1,2,4,Churn Risk
12413,2011-06-01 16:12:00,193,2,673.45,1,2,4,Churn Risk
12414,2011-06-05 14:51:00,189,2,319.61,1,2,4,Churn Risk
12415,2011-10-01 09:58:00,71,10,44582.79,0,0,-1,Noise/Outlier
12417,2011-06-12 14:52:00,182,4,1572.48,0,2,0,High-Value
12420,2011-07-10 08:55:00,154,1,600.39,1,2,1,Medium-Value
12422,2011-05-09 09:48:00,216,1,147.7,1,2,1,Medium-Value
12423,2011-09-12 10:10:00,90,3,548.92,1,2,0,High-Value
12427,2011-10-10 15:15:00,62,2,586.08,1,2,4,Churn Risk
12428,2011-11-08 12:58:00,33,6,6580.52,0,0,0,High-Value
12429,2010-09-12 12:05:00,455,1,1281.5,1,2,1,Medium-Value
12431,2011-12-08 14:19:00,3,7,3055.05,0,0,3,Potential
12433,2011-09-12 10:02:00,90,5,9033.92,0,0,0,High-Value
12436,2011-01-09 12:09:00,336,1,509.01,1,2,1,Medium-Value
12437,2011-12-01 14:13:00,10,7,2040.81,0,0,3,Potential
